model,split,test_size,n_train,n_test,accuracy,macro_f1,weighted_f1,macro_prec,macro_recall,fit_seconds,pred_seconds,flows_per_sec,recall::BENIGN,recall::Bot,recall::DDoS,recall::DoS GoldenEye,recall::DoS Hulk,recall::DoS Slowhttptest,recall::DoS slowloris,recall::FTP-Patator,recall::Heartbleed,recall::Infiltration,recall::PortScan,recall::SSH-Patator,recall::Web Attack - Brute Force,recall::Web Attack - Sql Injection,recall::Web Attack - XSS,f1::BENIGN,f1::Bot,f1::DDoS,f1::DoS GoldenEye,f1::DoS Hulk,f1::DoS Slowhttptest,f1::DoS slowloris,f1::FTP-Patator,f1::Heartbleed,f1::Infiltration,f1::PortScan,f1::SSH-Patator,f1::Web Attack - Brute Force,f1::Web Attack - Sql Injection,f1::Web Attack - XSS,sample
mlp,60/40,0.4,240033,160022,0.995225656472235,0.7329878100988463,0.9947541125779344,0.8334450559035533,0.713673379615966,81.97,0.27,596385,0.9977532970365988,0.4049586776859504,0.9989945959532488,0.9859154929577464,0.985759493670886,0.9784615384615384,0.9730538922155688,0.991869918699187,1.0,0.3571428571428571,0.9902568644818424,0.975,0.0659340659340659,0.0,0.0,0.9972193217839752,0.5697674418604651,0.9989318253220232,0.9851446442533228,0.9916202424980104,0.9217391304347826,0.9687034277198212,0.9878542510121456,1.0,0.5263157894736842,0.9784701557850516,0.9466019417475728,0.1224489795918367,0.0,0.0,400000
logistic,60/40,0.4,240033,160022,0.9750909249978128,0.612122197087634,0.975146564412179,0.6982962013962681,0.5809896553565953,33.05,0.14,1154253,0.9821761564903504,0.0165289256198347,0.97461354781953,0.8528951486697965,0.9378257632166792,0.8215384615384616,0.5778443113772455,0.7018970189701897,0.6,0.3571428571428571,0.992382639503986,0.9,0.0,0.0,0.0,0.9852752255670164,0.032,0.9840121811952798,0.895645028759244,0.9663373933058406,0.8090909090909091,0.7255639097744361,0.815748031496063,0.75,0.4545454545454545,0.8309723355336349,0.932642487046632,0.0,0.0,0.0,400000
naive_bayes,40/60,0.6,160022,240033,0.7291414097228298,0.4685000144029522,0.8266685003398614,0.4348488985016662,0.8180548799187051,0.53,1.25,192307,0.6856155731852835,1.0,0.9764577747989276,0.9311783107403544,0.9353437577562672,0.7371663244353183,0.5988023952095808,0.9945750452079566,0.8571428571428571,0.7727272727272727,0.9818138875767596,0.9166666666666666,0.0,0.9166666666666666,0.9666666666666668,0.8133091693022044,0.0078180373289804,0.9624674842066148,0.3120195667365478,0.9123040610058706,0.1438589461029853,0.1312048983162038,0.8270676691729323,0.9230769230769232,0.0154686078252957,0.9747347441233366,0.5298651252408478,0.0,0.1083743842364532,0.3659305993690852,400000
lda,40/60,0.6,160022,240033,0.9077918452879395,0.4294923712419156,0.9171423661228006,0.399118267124782,0.5839780790689911,1.32,0.2,1171926,0.93743166261427,0.0,0.5747319034852547,0.7643378519290928,0.799391908662199,0.7371663244353183,0.3273453093812375,0.674502712477396,0.8571428571428571,0.3181818181818182,0.987954652810581,0.9066666666666666,0.8248175182481752,0.0,0.05,0.9509245331753194,0.0,0.6688115433362581,0.6718606782768103,0.864514830224131,0.5,0.3809523809523809,0.3418881759853345,0.5454545454545454,0.3333333333333333,0.7522704792734466,0.3553233180927498,0.0664510438106439,0.0,0.0106007067137809,400000
qda,40/60,0.6,160022,240033,0.5917602996254682,0.3182066696700084,0.701577843958522,0.3139225576149933,0.5943568299165807,0.63,4.19,57239,0.5449716165817078,0.2252747252747252,0.7350033512064343,0.2294056308654848,0.8826011417225118,0.8069815195071869,0.5528942115768463,0.3019891500904159,0.8571428571428571,0.3181818181818182,0.9868918280585736,0.9866666666666668,0.8540145985401459,0.5833333333333334,0.05,0.7051542528965823,0.0055824086050786,0.7629359074702148,0.2748282323547782,0.8154794324208112,0.3764367816091954,0.1901819430140748,0.0231574568397698,0.9230769230769232,0.015200868621064,0.5091385402705008,0.114087492773174,0.0501177982437352,0.0004316058821715,0.0072904009720534,400000
sgd,40/60,0.6,160022,240033,0.9619260684989148,0.3635627261189009,0.9596369716687428,0.449537304151862,0.3379806640780358,4.46,0.21,1156651,0.9784315977093558,0.0,0.9002178284182306,0.5119916579770595,0.9352817076197568,0.1683778234086242,0.3592814371257485,0.0036166365280289,0.0,0.2272727272727272,0.9852385451110062,0.0,0.0,0.0,0.0,0.9775677158677109,0.0,0.9434127924843058,0.6343669250645995,0.9572893842685212,0.2481089258698941,0.5194805194805194,0.0065040650406504,0.0,0.3571428571428571,0.8095677065644559,0.0,0.0,0.0,0.0,400000
decision_tree,40/60,0.6,160022,240033,0.9976003299546312,0.8424212810671257,0.9975945088375422,0.861539235867511,0.8288712110524756,8.89,0.15,1640398,0.998936557942614,0.7912087912087912,0.9987432975871312,0.9874869655891554,0.9965872424919336,0.971252566735113,0.9700598802395208,0.992766726943942,0.8571428571428571,0.6818181818181818,0.9876003778932452,0.98,0.6861313868613139,0.1666666666666666,0.3666666666666666,0.9988617529005333,0.784741144414169,0.9990781092859538,0.9844074844074844,0.9972988916141452,0.9643221202854232,0.972,0.9963702359346642,0.9230769230769232,0.7894736842105263,0.9874254678552452,0.9882352941176472,0.6738351254480287,0.2105263157894736,0.3666666666666666,400000
lightgbm,40/60,0.6,160022,240033,0.8346727324992813,0.1446515622405496,0.8385471364432117,0.1578107556319205,0.1355129264471587,18.93,5.7,42085,0.921759622153545,0.0,0.3631869973190348,0.0,0.7044551998014396,0.0,0.0159680638722554,0.0253164556962025,0.0,0.0,0.0020075578649031,0.0,0.0,0.0,0.0,0.9158473306678044,0.0,0.4384101941747573,0.0,0.7802749140893471,0.0,0.0137575236457437,0.0196353436185133,0.0,0.0,0.001848127412078,0.0,0.0,0.0,0.0,400000
xgboost,40/60,0.6,160022,240033,0.9983252302808364,0.868035564070872,0.9983066614450952,0.9042338041114416,0.8517567390782452,39.66,2.48,96871,0.9990963238855076,0.7582417582417582,0.9994135388739946,0.9927007299270072,0.9975800446760984,0.9876796714579056,0.9880239520958084,0.9945750452079566,1.0,0.7272727272727273,0.9978743504959848,0.9966666666666668,0.7372262773722628,0.25,0.35,0.9992310227397562,0.7688022284122563,0.9997066834276136,0.9875518672199172,0.9979206107817884,0.9886947584789312,0.99,0.9963768115942028,1.0,0.8421052631578947,0.9930078147952288,0.9933554817275748,0.7137809187279152,0.375,0.375,400000
random_forest,40/60,0.6,160022,240033,0.9977044823003504,0.8353838985746461,0.997648486075654,0.8561225064892106,0.8177944231579065,28.09,1.65,145190,0.9991911849141007,0.6538461538461539,0.9984919571045576,0.986444212721585,0.9947877885331348,0.9774127310061602,0.9900199600798404,0.9891500904159132,0.8571428571428571,0.7272727272727273,0.9897260273972602,0.9766666666666668,0.6934306569343066,0.0,0.4333333333333333,0.9988221613339522,0.7391304347826086,0.999119755208115,0.9879895561357702,0.9962095320946996,0.9855072463768116,0.991008991008991,0.9945454545454544,0.9230769230769232,0.7804878048780488,0.9894339177144208,0.988195615514334,0.7089552238805971,0.0,0.4482758620689655,400000
hist_gb,40/60,0.6,160022,240033,0.9865935100590336,0.583674650029876,0.9892951755664072,0.5512729113614729,0.6660408791208748,6.37,2.15,111829,0.9893506013689944,0.7307692307692307,0.996229892761394,0.8310740354535975,0.9888930255646562,0.8090349075975359,0.7125748502994012,0.992766726943942,0.0,0.0,0.9671705243268776,0.9666666666666668,0.8394160583941606,0.1666666666666666,0.0,0.9935994664968548,0.4674868189806678,0.9953126307859712,0.8380651945320715,0.9907988809449798,0.6973451327433628,0.680648236415634,0.9219143576826196,0.0,0.0,0.970724191063174,0.8734939759036144,0.3155006858710562,0.0102301790281329,0.0,400000
catboost,40/60,0.6,160022,240033,0.99827940324872,0.862558139191216,0.9982094968663712,0.9397062711930856,0.8407133764816231,437.11,1.37,175831,0.9992261337141088,0.6978021978021978,0.999162198391421,0.97288842544317,0.9968354430379748,0.9917864476386036,0.9840319361277444,0.9945750452079566,1.0,0.7272727272727273,0.9978743504959848,0.99,0.8759124087591241,0.1666666666666666,0.2166666666666666,0.999221144916972,0.79375,0.99932964638847,0.9774751178627552,0.9970210389126792,0.9877300613496932,0.986986986986987,0.99728014505893,1.0,0.8421052631578947,0.993066165236808,0.9949748743718592,0.7741935483870968,0.2857142857142857,0.3095238095238095,400000
mlp,40/60,0.6,160022,240033,0.98360225468998,0.7175482626277072,0.983251655459772,0.7631437164056838,0.7043019486228748,33.26,0.45,535160,0.9912777780551492,0.6593406593406593,0.9988270777479892,0.9708029197080292,0.9552618515760736,0.9794661190965092,0.8782435129740519,0.9855334538878844,0.8571428571428571,0.4545454545454545,0.877420878601795,0.9066666666666666,0.0,0.0,0.05,0.990328453500262,0.6201550387596899,0.9969060958274104,0.9607843137254902,0.9712933753943218,0.9120458891013384,0.9157127991675338,0.961199294532628,0.9230769230769232,0.6060606060606061,0.8650599604144836,0.951048951048951,0.0,0.0,0.0895522388059701,400000
logistic,40/60,0.6,160022,240033,0.9746284885828198,0.6252717682317229,0.9748853710435303,0.7052290226892449,0.6023849104572105,20.29,0.24,981239,0.9811875602242714,0.0219780219780219,0.9692526809651476,0.8373305526590198,0.9394390667659468,0.813141683778234,0.8602794411177644,0.6943942133815552,0.5714285714285714,0.4545454545454545,0.992796410014171,0.9,0.0,0.0,0.0,0.984991441939259,0.0425531914893617,0.9809640903887736,0.8790366721401204,0.9671649418678931,0.7951807228915663,0.9121693121693122,0.807570977917981,0.7272727272727273,0.5263157894736842,0.824822173166544,0.9310344827586208,0.0,0.0,0.0,400000
naive_bayes,60/40,0.4,60053,40036,0.7042411829353582,0.4311593462872818,0.8004552783840032,0.4199945460558677,0.7244234792514592,0.22,0.2,203392,0.6958332085193062,1.0,0.972347913524384,0.89375,0.9333581533879376,0.654320987654321,0.6071428571428571,1.0,1.0,0.9285714285714286,0.0510276399716513,0.88,0.0,0.25,1.0,0.8203923784633315,0.0071329958582604,0.9609937888198756,0.2721217887725975,0.9045643153526972,0.1955719557195571,0.103763987792472,0.8177777777777778,1.0,0.0548523206751054,0.0930833872010342,0.5086705202312138,0.0,0.0727272727272727,0.6557377049180327,100000
lda,60/40,0.4,60053,40036,0.9029623338994904,0.4668332590436364,0.9137217899079036,0.4797412777893577,0.6047642619457979,0.73,0.09,434664,0.9332893987957944,0.0,0.567621920563097,0.7375,0.7918838421444527,0.8395061728395061,0.2738095238095238,0.6739130434782609,1.0,0.2857142857142857,0.988660524450744,0.86,0.8695652173913043,0.25,0.0,0.9486777400545042,0.0,0.6579254079254079,0.6327077747989276,0.8597413096200485,0.5738396624472574,0.3262411347517731,0.3237597911227154,1.0,0.4444444444444444,0.749798441279226,0.3771929824561403,0.0907029478458049,0.0174672489082969,0.0,100000
