test_size,kernel,classifier,components,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.4,rbf,RF,15,6201,4135,0.9678,0.7676,0.9,1.7
0.4,rbf,NB,15,6201,4135,0.7891,0.4163,0.0,1.7
0.4,rbf,KNN,15,6201,4135,0.9521,0.6909,0.0,1.7
0.4,rbf,SVM,15,6201,4135,0.9212,0.2694,0.6,1.7
0.4,sigmoid,LR,15,6201,4135,0.9013,0.253,0.1,1.2
0.4,sigmoid,SGD,15,6201,4135,0.8984,0.2499,0.1,1.2
0.4,sigmoid,DT,15,6201,4135,0.9632,0.7489,0.2,1.2
0.4,sigmoid,RF,15,6201,4135,0.9748,0.7833,1.0,1.2
0.4,sigmoid,NB,15,6201,4135,0.8851,0.5811,0.0,1.2
0.4,sigmoid,KNN,15,6201,4135,0.9635,0.7653,0.0,1.2
0.4,sigmoid,SVM,15,6201,4135,0.9417,0.5577,0.6,1.2
0.4,cosine,LR,15,6201,4135,0.9067,0.2206,0.1,1.0
0.4,cosine,SGD,15,6201,4135,0.888,0.2034,0.1,1.0
0.4,cosine,DT,15,6201,4135,0.9654,0.7927,0.2,1.0
0.4,cosine,RF,15,6201,4135,0.9719,0.7826,1.0,1.0
0.4,cosine,NB,15,6201,4135,0.8312,0.5085,0.0,1.0
0.4,cosine,KNN,15,6201,4135,0.9572,0.7309,0.0,1.0
0.4,cosine,SVM,15,6201,4135,0.9335,0.4613,0.6,1.0
0.6,none,LR,0,4134,6202,0.9442,0.5859,0.2,0.0
0.6,none,SGD,0,4134,6202,0.9344,0.5104,0.6,0.0
0.6,none,DT,0,4134,6202,0.9739,0.7865,0.1,0.0
0.6,none,RF,0,4134,6202,0.9827,0.8385,0.7,0.0
0.6,none,NB,0,4134,6202,0.8152,0.6662,0.0,0.0
0.6,none,KNN,0,4134,6202,0.9571,0.711,0.1,0.0
0.6,none,SVM,0,4134,6202,0.927,0.4597,0.8,0.0
0.6,linear,LR,5,4134,6202,0.8796,0.2689,0.4,0.5
0.6,linear,SGD,5,4134,6202,0.8883,0.2884,0.2,0.5
0.6,linear,DT,5,4134,6202,0.9557,0.6899,0.0,0.5
0.6,linear,RF,5,4134,6202,0.9698,0.7531,0.6,0.5
0.6,linear,NB,5,4134,6202,0.6129,0.3364,0.0,0.5
0.6,linear,KNN,5,4134,6202,0.9487,0.6636,0.0,0.5
0.6,linear,SVM,5,4134,6202,0.8936,0.3425,0.6,0.5
0.6,poly,LR,5,4134,6202,0.8088,0.1516,0.4,0.5
0.6,poly,SGD,5,4134,6202,0.8091,0.1625,1.3,0.5
0.6,poly,DT,5,4134,6202,0.9323,0.6238,0.0,0.5
0.6,poly,RF,5,4134,6202,0.955,0.7223,0.6,0.5
0.6,poly,NB,5,4134,6202,0.0927,0.2283,0.0,0.5
0.6,poly,KNN,5,4134,6202,0.9365,0.6302,0.0,0.5
0.6,poly,SVM,5,4134,6202,0.8086,0.1251,0.7,0.5
0.6,rbf,LR,5,4134,6202,0.8783,0.1557,0.1,1.0
0.6,rbf,SGD,5,4134,6202,0.8757,0.1543,0.0,1.0
0.6,rbf,DT,5,4134,6202,0.9478,0.6732,0.0,1.0
0.6,rbf,RF,5,4134,6202,0.9579,0.7399,0.8,1.0
0.6,rbf,NB,5,4134,6202,0.8238,0.3483,0.0,1.0
0.6,rbf,KNN,5,4134,6202,0.9445,0.6454,0.0,1.0
0.6,rbf,SVM,5,4134,6202,0.8817,0.1607,0.5,1.0
0.6,sigmoid,LR,5,4134,6202,0.8702,0.1473,0.1,0.6
0.6,sigmoid,SGD,5,4134,6202,0.8741,0.1514,0.1,0.6
0.6,sigmoid,DT,5,4134,6202,0.9453,0.6939,0.1,0.6
0.6,sigmoid,RF,5,4134,6202,0.9582,0.7405,0.7,0.6
0.6,sigmoid,NB,5,4134,6202,0.8736,0.397,0.0,0.6
0.6,sigmoid,KNN,5,4134,6202,0.9484,0.7155,0.0,0.6
0.6,sigmoid,SVM,5,4134,6202,0.9192,0.3805,0.5,0.6
0.6,cosine,LR,5,4134,6202,0.8875,0.1892,0.1,0.5
0.6,cosine,SGD,5,4134,6202,0.875,0.1542,0.1,0.5
0.6,cosine,DT,5,4134,6202,0.9531,0.7252,0.0,0.5
0.6,cosine,RF,5,4134,6202,0.965,0.7683,0.6,0.5
0.6,cosine,NB,5,4134,6202,0.8431,0.4374,0.0,0.5
0.6,cosine,KNN,5,4134,6202,0.9534,0.7135,0.0,0.5
0.6,cosine,SVM,5,4134,6202,0.9136,0.221,0.4,0.5
0.6,linear,LR,10,4134,6202,0.9073,0.4218,0.3,0.5
0.6,linear,SGD,10,4134,6202,0.8976,0.3792,0.2,0.5
0.6,linear,DT,10,4134,6202,0.9582,0.7307,0.1,0.5
0.6,linear,RF,10,4134,6202,0.9776,0.7895,0.7,0.5
0.6,linear,NB,10,4134,6202,0.8036,0.4333,0.0,0.5
0.6,linear,KNN,10,4134,6202,0.9573,0.7062,0.1,0.5
0.6,linear,SVM,10,4134,6202,0.901,0.3677,0.6,0.5
0.6,poly,LR,10,4134,6202,0.8699,0.2383,0.6,0.6
0.6,poly,SGD,10,4134,6202,0.846,0.2105,1.2,0.6
0.6,poly,DT,10,4134,6202,0.9466,0.6433,0.1,0.6
0.6,poly,RF,10,4134,6202,0.9684,0.6989,0.7,0.6
0.6,poly,NB,10,4134,6202,0.1174,0.2608,0.0,0.6
0.6,poly,KNN,10,4134,6202,0.9399,0.6183,0.0,0.6
0.6,poly,SVM,10,4134,6202,0.8272,0.1556,0.7,0.6
0.6,rbf,LR,10,4134,6202,0.8763,0.1543,0.1,0.9
0.6,rbf,SGD,10,4134,6202,0.8789,0.1572,0.1,0.9
0.6,rbf,DT,10,4134,6202,0.9471,0.6927,0.1,0.9
0.6,rbf,RF,10,4134,6202,0.9574,0.731,0.7,0.9
0.6,rbf,NB,10,4134,6202,0.7548,0.3703,0.0,0.9
0.6,rbf,KNN,10,4134,6202,0.9479,0.6658,0.0,0.9
0.6,rbf,SVM,10,4134,6202,0.9065,0.2133,0.5,0.9
0.6,sigmoid,LR,10,4134,6202,0.8862,0.1801,0.1,0.6
0.6,sigmoid,SGD,10,4134,6202,0.8784,0.1715,0.1,0.6
0.6,sigmoid,DT,10,4134,6202,0.9587,0.7285,0.1,0.6
0.6,sigmoid,RF,10,4134,6202,0.9686,0.7672,0.8,0.6
0.6,sigmoid,NB,10,4134,6202,0.9036,0.5751,0.0,0.6
0.6,sigmoid,KNN,10,4134,6202,0.9555,0.7322,0.0,0.6
0.6,sigmoid,SVM,10,4134,6202,0.9233,0.4543,0.5,0.6
0.6,cosine,LR,10,4134,6202,0.8992,0.2088,0.1,0.5
0.6,cosine,SGD,10,4134,6202,0.8913,0.197,0.1,0.5
0.6,cosine,DT,10,4134,6202,0.9539,0.7426,0.1,0.5
0.6,cosine,RF,10,4134,6202,0.9663,0.7618,0.7,0.5
0.6,cosine,NB,10,4134,6202,0.8733,0.5001,0.0,0.5
0.6,cosine,KNN,10,4134,6202,0.9531,0.6992,0.0,0.5
0.6,cosine,SVM,10,4134,6202,0.9195,0.2642,0.5,0.5
0.6,linear,LR,15,4134,6202,0.9197,0.4744,0.2,0.6
0.6,linear,SGD,15,4134,6202,0.9002,0.3767,0.2,0.6
0.6,linear,DT,15,4134,6202,0.9639,0.734,0.1,0.6
0.6,linear,RF,15,4134,6202,0.9768,0.7976,0.7,0.6
0.6,linear,NB,15,4134,6202,0.8322,0.4857,0.0,0.6
0.6,linear,KNN,15,4134,6202,0.9568,0.7008,0.1,0.6
0.6,linear,SVM,15,4134,6202,0.921,0.4178,0.6,0.6
0.6,poly,LR,15,4134,6202,0.8775,0.2856,0.3,0.6
0.6,poly,SGD,15,4134,6202,0.8473,0.2076,1.2,0.6
0.6,poly,DT,15,4134,6202,0.9386,0.7043,0.1,0.6
0.6,poly,RF,15,4134,6202,0.9645,0.714,0.7,0.6
0.6,poly,NB,15,4134,6202,0.1277,0.2882,0.0,0.6
0.6,poly,KNN,15,4134,6202,0.9445,0.6223,0.1,0.6
0.6,poly,SVM,15,4134,6202,0.8388,0.1633,0.8,0.6
0.6,rbf,LR,15,4134,6202,0.8957,0.2002,0.1,1.0
0.6,rbf,SGD,15,4134,6202,0.8962,0.2014,0.1,1.0
0.6,rbf,DT,15,4134,6202,0.9476,0.6911,0.1,1.0
