test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.4,linear,-,,SGD,5,1,6201,4135,0.8771,0.2489,0.3,0.9
0.4,linear,-,,DT,5,1,6201,4135,0.9637,0.7177,0.1,0.9
0.4,linear,-,,RF,5,1,6201,4135,0.9746,0.7687,0.8,0.9
0.4,linear,-,,NB,5,1,6201,4135,0.3615,0.2575,0.0,0.9
0.4,linear,-,,KNN,5,1,6201,4135,0.9599,0.693,0.0,0.9
0.4,linear,-,,SVM,5,1,6201,4135,0.8958,0.3096,0.7,0.9
0.4,poly,default,0.014492753623188406,LR,5,1,6201,4135,0.8085,0.1485,0.4,0.9
0.4,poly,default,0.014492753623188406,SGD,5,1,6201,4135,0.8034,0.1483,1.2,0.9
0.4,poly,default,0.014492753623188406,DT,5,1,6201,4135,0.9243,0.6079,0.0,0.9
0.4,poly,default,0.014492753623188406,RF,5,1,6201,4135,0.9441,0.6009,0.6,0.9
0.4,poly,default,0.014492753623188406,NB,5,1,6201,4135,0.1045,0.1782,0.0,0.9
0.4,poly,default,0.014492753623188406,KNN,5,1,6201,4135,0.9318,0.5992,0.0,0.9
0.4,poly,default,0.014492753623188406,SVM,5,1,6201,4135,0.8092,0.1485,0.7,0.9
0.4,rbf,default,0.014492753623188406,LR,5,1,6201,4135,0.8769,0.1538,0.1,1.6
0.4,rbf,default,0.014492753623188406,SGD,5,1,6201,4135,0.8624,0.1428,0.1,1.6
0.4,rbf,default,0.014492753623188406,DT,5,1,6201,4135,0.9524,0.6859,0.1,1.6
0.4,rbf,default,0.014492753623188406,RF,5,1,6201,4135,0.9642,0.7328,0.8,1.6
0.4,rbf,default,0.014492753623188406,NB,5,1,6201,4135,0.8058,0.3226,0.0,1.6
0.4,rbf,default,0.014492753623188406,KNN,5,1,6201,4135,0.9511,0.6418,0.0,1.6
0.4,rbf,default,0.014492753623188406,SVM,5,1,6201,4135,0.9071,0.2228,0.7,1.6
0.4,sigmoid,default,0.014492753623188406,LR,5,1,6201,4135,0.8764,0.156,0.1,1.0
0.4,sigmoid,default,0.014492753623188406,SGD,5,1,6201,4135,0.8769,0.1553,0.1,1.0
0.4,sigmoid,default,0.014492753623188406,DT,5,1,6201,4135,0.9555,0.71,0.1,1.0
0.4,sigmoid,default,0.014492753623188406,RF,5,1,6201,4135,0.9652,0.7632,0.8,1.0
0.4,sigmoid,default,0.014492753623188406,NB,5,1,6201,4135,0.8663,0.4061,0.0,1.0
0.4,sigmoid,default,0.014492753623188406,KNN,5,1,6201,4135,0.9567,0.706,0.0,1.0
0.4,sigmoid,default,0.014492753623188406,SVM,5,1,6201,4135,0.9209,0.4059,0.6,1.0
0.4,cosine,-,,LR,5,1,6201,4135,0.8861,0.1862,0.1,0.8
0.4,cosine,-,,SGD,5,1,6201,4135,0.8798,0.1605,0.1,0.8
0.4,cosine,-,,DT,5,1,6201,4135,0.9557,0.7309,0.1,0.8
0.4,cosine,-,,RF,5,1,6201,4135,0.9623,0.767,0.8,0.8
