test_size,kernel,gamma_label,gamma,classifier,components,sample_seed,n_train,n_test,accuracy,macro_f1,clf_seconds,kpca_seconds
0.2,rbf,default,0.014492753623188406,RF,15,0,8268,2068,0.971,0.7701,2.3,2.8
0.2,rbf,default,0.014492753623188406,NB,15,0,8268,2068,0.7853,0.4173,0.0,2.8
0.2,rbf,default,0.014492753623188406,KNN,15,0,8268,2068,0.9589,0.7112,0.0,2.8
0.2,rbf,default,0.014492753623188406,SVM,15,0,8268,2068,0.9289,0.2646,0.9,2.8
0.2,rbf,0.05,0.05,LR,15,0,8268,2068,0.9014,0.2098,0.1,2.6
0.2,rbf,0.05,0.05,SGD,15,0,8268,2068,0.9028,0.2124,0.1,2.6
0.2,rbf,0.05,0.05,DT,15,0,8268,2068,0.9565,0.702,0.3,2.6
0.2,rbf,0.05,0.05,RF,15,0,8268,2068,0.9647,0.7323,2.0,2.6
0.2,rbf,0.05,0.05,NB,15,0,8268,2068,0.7171,0.3628,0.0,2.6
0.2,rbf,0.05,0.05,KNN,15,0,8268,2068,0.9555,0.6392,0.0,2.6
0.2,rbf,0.05,0.05,SVM,15,0,8268,2068,0.9139,0.3276,0.9,2.6
0.2,rbf,0.1,0.1,LR,15,0,8268,2068,0.8936,0.2026,0.2,2.9
0.2,rbf,0.1,0.1,SGD,15,0,8268,2068,0.8985,0.2083,0.2,2.9
0.2,rbf,0.1,0.1,DT,15,0,8268,2068,0.9502,0.6661,0.3,2.9
0.2,rbf,0.1,0.1,RF,15,0,8268,2068,0.9579,0.7147,2.0,2.9
0.2,rbf,0.1,0.1,NB,15,0,8268,2068,0.6499,0.3424,0.0,2.9
0.2,rbf,0.1,0.1,KNN,15,0,8268,2068,0.9425,0.6066,0.0,2.9
0.2,rbf,0.1,0.1,SVM,15,0,8268,2068,0.9081,0.3376,1.1,2.9
0.2,poly,0.001,0.001,LR,15,0,8268,2068,0.8849,0.2623,0.3,1.7
0.2,poly,0.001,0.001,SGD,15,0,8268,2068,0.8815,0.2272,0.2,1.7
0.2,poly,0.001,0.001,DT,15,0,8268,2068,0.9782,0.8089,0.3,1.7
0.2,poly,0.001,0.001,RF,15,0,8268,2068,0.986,0.8162,1.8,1.7
0.2,poly,0.001,0.001,NB,15,0,8268,2068,0.1446,0.2684,0.0,1.7
0.2,poly,0.001,0.001,KNN,15,0,8268,2068,0.9628,0.7433,0.1,1.7
0.2,poly,0.001,0.001,SVM,15,0,8268,2068,0.8859,0.2396,1.3,1.7
0.2,poly,0.005,0.005,LR,15,0,8268,2068,0.8839,0.2786,0.5,1.6
0.2,poly,0.005,0.005,SGD,15,0,8268,2068,0.8864,0.3325,0.6,1.6
0.2,poly,0.005,0.005,DT,15,0,8268,2068,0.9671,0.7821,0.3,1.6
0.2,poly,0.005,0.005,RF,15,0,8268,2068,0.9807,0.7826,1.7,1.6
0.2,poly,0.005,0.005,NB,15,0,8268,2068,0.1422,0.2993,0.0,1.6
0.2,poly,0.005,0.005,KNN,15,0,8268,2068,0.9599,0.7299,0.0,1.6
0.2,poly,0.005,0.005,SVM,15,0,8268,2068,0.8622,0.1883,1.4,1.6
0.2,poly,default,0.014492753623188406,LR,15,0,8268,2068,0.8796,0.2768,1.6,1.8
0.2,poly,default,0.014492753623188406,SGD,15,0,8268,2068,0.8332,0.1919,4.0,1.8
0.2,poly,default,0.014492753623188406,DT,15,0,8268,2068,0.9381,0.7134,0.3,1.8
0.2,poly,default,0.014492753623188406,RF,15,0,8268,2068,0.9526,0.6819,1.7,1.8
0.2,poly,default,0.014492753623188406,NB,15,0,8268,2068,0.1402,0.2784,0.0,1.8
0.2,poly,default,0.014492753623188406,KNN,15,0,8268,2068,0.9531,0.7144,0.1,1.8
0.2,poly,default,0.014492753623188406,SVM,15,0,8268,2068,0.8332,0.1575,1.4,1.8
0.2,poly,0.05,0.05,LR,15,0,8268,2068,0.8815,0.3204,4.1,1.8
0.2,poly,0.05,0.05,SGD,15,0,8268,2068,0.8564,0.2387,2.9,1.8
0.2,poly,0.05,0.05,DT,15,0,8268,2068,0.8419,0.5033,0.2,1.8
0.2,poly,0.05,0.05,RF,15,0,8268,2068,0.9105,0.4668,1.6,1.8
0.2,poly,0.05,0.05,NB,15,0,8268,2068,0.0962,0.2112,0.0,1.8
0.2,poly,0.05,0.05,KNN,15,0,8268,2068,0.9429,0.7189,0.1,1.8
0.2,poly,0.05,0.05,SVM,15,0,8268,2068,0.808,0.1207,1.5,1.8
0.2,poly,0.1,0.1,LR,15,0,8268,2068,0.883,0.3026,7.8,1.7
0.2,poly,0.1,0.1,SGD,15,0,8268,2068,0.0024,0.0169,1.4,1.7
0.2,poly,0.1,0.1,DT,15,0,8268,2068,0.8486,0.4293,0.2,1.7
0.2,poly,0.1,0.1,RF,15,0,8268,2068,0.9163,0.4512,1.5,1.7
0.2,poly,0.1,0.1,NB,15,0,8268,2068,0.0938,0.2135,0.0,1.7
0.2,poly,0.1,0.1,KNN,15,0,8268,2068,0.9396,0.7278,0.1,1.7
0.2,poly,0.1,0.1,SVM,15,0,8268,2068,0.808,0.1207,1.1,1.7
0.2,sigmoid,0.001,0.001,LR,15,0,8268,2068,0.8835,0.1608,0.2,1.6
0.2,sigmoid,0.001,0.001,SGD,15,0,8268,2068,0.8907,0.169,0.1,1.6
0.2,sigmoid,0.001,0.001,DT,15,0,8268,2068,0.97,0.7877,0.3,1.6
0.2,sigmoid,0.001,0.001,RF,15,0,8268,2068,0.9797,0.7918,1.8,1.6
0.2,sigmoid,0.001,0.001,NB,15,0,8268,2068,0.853,0.5184,0.0,1.6
0.2,sigmoid,0.001,0.001,KNN,15,0,8268,2068,0.97,0.7718,0.0,1.6
0.2,sigmoid,0.001,0.001,SVM,15,0,8268,2068,0.9352,0.4991,0.7,1.6
0.2,sigmoid,0.005,0.005,LR,15,0,8268,2068,0.8946,0.1742,0.2,1.5
0.2,sigmoid,0.005,0.005,SGD,15,0,8268,2068,0.897,0.2314,0.1,1.5
0.2,sigmoid,0.005,0.005,DT,15,0,8268,2068,0.9734,0.7805,0.3,1.5
0.2,sigmoid,0.005,0.005,RF,15,0,8268,2068,0.9802,0.7897,1.9,1.5
0.2,sigmoid,0.005,0.005,NB,15,0,8268,2068,0.8032,0.5112,0.0,1.5
0.2,sigmoid,0.005,0.005,KNN,15,0,8268,2068,0.97,0.763,0.0,1.5
0.2,sigmoid,0.005,0.005,SVM,15,0,8268,2068,0.9439,0.5143,0.7,1.5
0.2,sigmoid,default,0.014492753623188406,LR,15,0,8268,2068,0.913,0.2965,0.2,1.7
0.2,sigmoid,default,0.014492753623188406,SGD,15,0,8268,2068,0.911,0.2744,0.1,1.7
0.2,sigmoid,default,0.014492753623188406,DT,15,0,8268,2068,0.9647,0.7404,0.3,1.7
0.2,sigmoid,default,0.014492753623188406,RF,15,0,8268,2068,0.9797,0.7957,1.9,1.7
0.2,sigmoid,default,0.014492753623188406,NB,15,0,8268,2068,0.8839,0.5735,0.0,1.7
0.2,sigmoid,default,0.014492753623188406,KNN,15,0,8268,2068,0.9695,0.767,0.0,1.7
0.2,sigmoid,default,0.014492753623188406,SVM,15,0,8268,2068,0.9512,0.5845,0.6,1.7
0.2,sigmoid,0.05,0.05,LR,15,0,8268,2068,0.9043,0.3335,0.1,2.0
0.2,sigmoid,0.05,0.05,SGD,15,0,8268,2068,0.9018,0.2624,0.1,2.0
0.2,sigmoid,0.05,0.05,DT,15,0,8268,2068,0.9642,0.7358,0.3,2.0
0.2,sigmoid,0.05,0.05,RF,15,0,8268,2068,0.9807,0.8065,2.1,2.0
0.2,sigmoid,0.05,0.05,NB,15,0,8268,2068,0.869,0.5776,0.0,2.0
0.2,sigmoid,0.05,0.05,KNN,15,0,8268,2068,0.9686,0.7805,0.0,2.0
0.2,sigmoid,0.05,0.05,SVM,15,0,8268,2068,0.956,0.6418,0.6,2.0
0.2,sigmoid,0.1,0.1,LR,15,0,8268,2068,0.912,0.389,0.2,2.2
0.2,sigmoid,0.1,0.1,SGD,15,0,8268,2068,0.9023,0.2504,0.1,2.2
0.2,sigmoid,0.1,0.1,DT,15,0,8268,2068,0.9691,0.8095,0.3,2.2
0.2,sigmoid,0.1,0.1,RF,15,0,8268,2068,0.9792,0.7976,2.0,2.2
0.2,sigmoid,0.1,0.1,NB,15,0,8268,2068,0.867,0.5522,0.0,2.2
0.2,sigmoid,0.1,0.1,KNN,15,0,8268,2068,0.9662,0.7654,0.0,2.2
0.2,sigmoid,0.1,0.1,SVM,15,0,8268,2068,0.956,0.6443,0.8,2.2
0.4,rbf,0.001,0.001,LR,10,0,6201,4135,0.8788,0.154,0.1,1.9
0.4,rbf,0.001,0.001,SGD,10,0,6201,4135,0.8786,0.1543,0.1,1.9
0.4,rbf,0.001,0.001,DT,10,0,6201,4135,0.9589,0.7329,0.1,1.9
0.4,rbf,0.001,0.001,RF,10,0,6201,4135,0.9707,0.7889,1.5,1.9
0.4,rbf,0.001,0.001,NB,10,0,6201,4135,0.8051,0.4132,0.0,1.9
0.4,rbf,0.001,0.001,KNN,10,0,6201,4135,0.9601,0.7636,0.0,1.9
0.4,rbf,0.001,0.001,SVM,10,0,6201,4135,0.9306,0.4726,0.8,1.9
0.4,rbf,0.005,0.005,LR,10,0,6201,4135,0.8851,0.1641,0.1,1.7
0.4,rbf,0.005,0.005,SGD,10,0,6201,4135,0.8856,0.1646,0.1,1.7
0.4,rbf,0.005,0.005,DT,10,0,6201,4135,0.9499,0.6628,0.1,1.7
0.4,rbf,0.005,0.005,RF,10,0,6201,4135,0.9676,0.7697,1.5,1.7
0.4,rbf,0.005,0.005,NB,10,0,6201,4135,0.808,0.4371,0.0,1.7
0.4,rbf,0.005,0.005,KNN,10,0,6201,4135,0.9548,0.7268,0.0,1.7
